product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Purpose Clothing 0001,Clothing,17.38,8.0,457,45
2,Brother Clothing 0002,Clothing,339.97,240.32,178,161
3,Ago Toys 0003,Toys,20.73,8.03,476,139
4,Site Office 0004,Office,18.14,7.79,1330,189
5,Face Health 0005,Health,212.66,112.64,569,11
6,Election Home 0006,Home & Garden,350.58,170.42,318,65
7,Dog Beauty 0007,Beauty,55.59,27.9,735,98
8,Chair Office 0008,Office,135.94,49.94,940,147
9,Since Clothing 0009,Clothing,486.69,244.03,1130,85
10,Blue Office 0010,Office,443.3,219.28,393,190
11,Require Clothing 0011,Clothing,27.68,12.21,592,30
12,Sit Sports 0012,Sports,433.91,217.84,928,172
13,Wait Beauty 0013,Beauty,85.51,42.08,1372,78
14,Offer Clothing 0014,Clothing,306.52,128.26,1493,72
15,Begin Home 0015,Home & Garden,233.82,107.08,1895,173
16,Performance Health 0016,Health,113.71,54.55,1573,24
17,Knowledge Sports 0017,Sports,411.79,276.73,821,78
18,Almost Clothing 0018,Clothing,109.44,79.58,1794,193
19,All Beauty 0019,Beauty,110.25,60.6,1811,174
20,Better Automotive 0020,Automotive,75.72,30.73,1525,153
21,Discover Health 0021,Health,135.06,78.85,1838,159
22,Early Toys 0022,Toys,184.19,137.95,283,140
23,Mouth Automotive 0023,Automotive,50.0,18.44,224,49
24,Play Home 0024,Home & Garden,397.08,206.03,130,108
25,Agreement Toys 0025,Toys,299.96,161.14,514,151
26,Option Electronics 0026,Electronics,341.74,135.27,1812,147
27,Decide Books 0027,Books,385.46,187.36,601,121
28,Sense Home 0028,Home & Garden,229.59,167.95,1793,194
29,Rate Books 0029,Books,486.08,318.28,1039,37
30,Science Books 0030,Books,421.63,233.19,407,49
31,Offer Beauty 0031,Beauty,382.44,216.37,1594,145
32,Kind Electronics 0032,Electronics,301.48,164.44,229,102
33,Discussion Books 0033,Books,123.53,55.14,1161,30
34,List Clothing 0034,Clothing,367.29,248.44,1557,146
35,Perform Home 0035,Home & Garden,68.55,37.02,1125,52
36,Fall Books 0036,Books,266.2,157.76,1975,64
37,Table Health 0037,Health,378.86,237.15,1460,89
38,True Toys 0038,Toys,497.6,303.51,897,142
39,According Automotive 0039,Automotive,64.9,28.55,692,15
40,Song Office 0040,Office,279.19,163.43,14,28
41,Sure Electronics 0041,Electronics,118.33,84.27,1760,94
42,Collection Clothing 0042,Clothing,259.51,119.74,994,64
43,Save Health 0043,Health,70.49,51.05,1169,157
44,Knowledge Automotive 0044,Automotive,125.28,67.55,833,58
45,Grow Clothing 0045,Clothing,52.98,27.68,867,115
46,Fall Automotive 0046,Automotive,432.6,160.78,1338,175
47,Clearly Clothing 0047,Clothing,35.0,22.44,1639,37
48,Dinner Sports 0048,Sports,99.84,56.36,287,118
49,Source Home 0049,Home & Garden,142.88,64.28,1890,29
50,Great Automotive 0050,Automotive,404.97,280.4,200,22
51,Blue Health 0051,Health,418.83,308.93,1897,70
52,Best Home 0052,Home & Garden,206.17,111.86,1770,112
53,Husband Electronics 0053,Electronics,86.5,30.35,799,77
54,Bill Automotive 0054,Automotive,146.2,91.91,1496,152
55,Her Automotive 0055,Automotive,81.62,38.25,1983,24
56,Throw Office 0056,Office,369.19,138.22,642,24
57,Guy Electronics 0057,Electronics,294.17,162.13,1746,145
58,Pm Home 0058,Home & Garden,33.16,18.34,1743,57
59,Everything Clothing 0059,Clothing,299.54,185.74,481,113
60,Surface Clothing 0060,Clothing,471.09,272.23,1185,162
61,Animal Electronics 0061,Electronics,311.59,161.31,1195,154
62,Show Health 0062,Health,161.6,73.42,1371,193
63,Machine Beauty 0063,Beauty,123.15,62.6,1375,175
64,Not Books 0064,Books,231.33,166.93,1916,28
65,Capital Electronics 0065,Electronics,231.85,173.74,204,28
66,Win Health 0066,Health,110.51,50.4,1911,99
67,Human Clothing 0067,Clothing,440.24,219.16,323,122
68,Bar Health 0068,Health,353.25,210.07,1652,177
69,Old Health 0069,Health,8.87,6.0,613,179
70,Finally Clothing 0070,Clothing,469.77,189.65,236,37
71,Themselves Health 0071,Health,81.95,37.92,431,193
72,Production Beauty 0072,Beauty,105.78,63.86,540,139
73,Present Automotive 0073,Automotive,129.31,92.23,104,33
74,Value Toys 0074,Toys,415.53,152.76,683,43
75,Training Books 0075,Books,84.98,44.76,1445,119
76,High Health 0076,Health,9.79,3.72,1808,186
77,Participant Home 0077,Home & Garden,275.07,188.1,1192,151
78,Dark Home 0078,Home & Garden,217.74,79.85,746,20
79,Sea Beauty 0079,Beauty,108.99,49.02,210,100
80,Available Health 0080,Health,442.65,226.88,1271,49
81,Answer Sports 0081,Sports,432.98,320.61,1660,55
82,Recently Toys 0082,Toys,17.27,11.13,680,115
83,Drive Sports 0083,Sports,137.07,91.14,221,107
84,Spring Electronics 0084,Electronics,430.0,188.76,1672,127
85,Figure Beauty 0085,Beauty,156.07,104.28,466,67
86,Base Electronics 0086,Electronics,331.72,168.97,570,27
87,Top Books 0087,Books,178.82,99.02,1391,147
88,Early Beauty 0088,Beauty,469.92,186.15,1987,76
89,Trial Home 0089,Home & Garden,292.39,217.37,78,37
90,Blood Office 0090,Office,220.11,141.18,642,121
91,Husband Office 0091,Office,492.2,195.04,1842,157
92,Fall Sports 0092,Sports,131.09,83.05,3,143
93,Long Health 0093,Health,344.99,250.5,1509,181
94,Prove Sports 0094,Sports,185.29,70.04,1360,94
95,They Office 0095,Office,160.39,110.54,1474,86
96,His Health 0096,Health,158.1,81.16,824,188
97,Commercial Books 0097,Books,279.43,119.24,1361,107
98,Hospital Home 0098,Home & Garden,309.68,145.67,1122,10
99,Hear Books 0099,Books,147.02,76.74,1187,165
100,Determine Beauty 0100,Beauty,235.17,123.9,437,140
101,Religious Automotive 0101,Automotive,397.9,292.03,1507,53
102,Example Clothing 0102,Clothing,145.47,89.54,1268,95
103,Science Clothing 0103,Clothing,410.12,266.76,1377,89
104,Write Sports 0104,Sports,404.25,165.31,94,72
105,Result Automotive 0105,Automotive,307.58,202.2,932,116
106,Raise Office 0106,Office,101.25,63.64,1012,112
107,Away Sports 0107,Sports,78.05,48.79,1828,37
108,Politics Toys 0108,Toys,113.33,76.12,1425,142
109,Prove Automotive 0109,Automotive,29.86,13.43,1737,41
110,Congress Automotive 0110,Automotive,71.0,38.05,1087,153
111,None Office 0111,Office,162.06,105.68,906,166
